run,dataset,num_neighbors,removal,pqr,all_data_hamm_loss,all_data_zero_loss,removed_data_hamm_loss,removed_data_zero_loss
0,Family,10,30,1_0_0,0.344884488448845,1,0.345734126984127,1
0,Family,15,30,1_0_0,0.345984598459846,1,0.355654761904762,1
0,Family,20,30,1_0_0,0.344609460946095,1,0.351686507936508,1
0,Family,25,30,1_0_0,0.364961496149615,1,0.374503968253968,1
0,Family,5,30,1_1_1,0.348459845984598,1,0.391369047619048,1
0,Family,10,30,1_1_1,0.338558855885589,1,0.385416666666667,1
0,Family,15,30,1_1_1,0.344609460946095,1,0.390873015873016,1
0,Family,20,30,1_1_1,0.342684268426843,1,0.38640873015873,1
0,Family,25,30,1_1_1,0.343784378437844,1,0.386904761904762,1
0,Family,5,35,0_0_0,0.348734873487349,1,0.39326334208224,1
0,Family,10,35,0_0_0,0.3501100110011,1,0.39326334208224,1
0,Family,15,35,0_0_0,0.353685368536854,1,0.39676290463692,1
0,Family,20,35,0_0_0,0.352310231023102,1,0.39413823272091,1
0,Family,25,35,0_0_0,0.352585258525853,1,0.394575678040245,1
0,Family,5,35,0_0_1,0.21974697469747,0.97029702970297,0.257217847769029,0.992125984251969
0,Family,10,35,0_0_1,0.218921892189219,0.97029702970297,0.252843394575678,0.992125984251969
0,Family,15,35,0_0_1,0.222497249724973,0.945544554455445,0.259842519685039,0.984251968503937
0,Family,20,35,0_0_1,0.216446644664466,0.965346534653465,0.255905511811024,1
0,Family,25,35,0_0_1,0.214796479647965,0.985148514851485,0.253718285214348,0.992125984251969
0,Family,5,35,0_1_0,0.22002200220022,0.96039603960396,0.259405074365704,1
0,Family,10,35,0_1_0,0.214246424642464,0.975247524752475,0.252405949256343,1
0,Family,15,35,0_1_0,0.216721672167217,0.965346534653465,0.255468066491688,1
0,Family,20,35,0_1_0,0.216996699669967,0.96039603960396,0.255905511811024,1
0,Family,25,35,0_1_0,0.221947194719472,0.965346534653465,0.26246719160105,1
0,Family,5,35,1_0_0,0.43949394939494,1,0.434820647419073,1
0,Family,10,35,1_0_0,0.448844884488449,1,0.444881889763779,1
0,Family,15,35,1_0_0,0.457095709570957,1,0.457130358705162,1
0,Family,20,35,1_0_0,0.461771177117712,1,0.461942257217848,1
0,Family,25,35,1_0_0,0.441694169416942,1,0.443132108486439,1
0,Family,5,35,1_1_1,0.403190319031903,1,0.425196850393701,1
0,Family,10,35,1_1_1,0.404015401540154,1,0.432633420822397,1
0,Family,15,35,1_1_1,0.405940594059406,1,0.428258967629046,1
0,Family,20,35,1_1_1,0.390814081408141,1,0.416885389326334,1
0,Family,25,35,1_1_1,0.391089108910891,1,0.416447944006999,1
0,Family,5,40,0_0_0,0.343784378437844,0.995049504950495,0.386401326699834,1
0,Family,10,40,0_0_0,0.347359735973597,0.995049504950495,0.390961857379768,0.992537313432836
0,Family,15,40,0_0_0,0.3501100110011,1,0.392205638474295,1
0,Family,20,40,0_0_0,0.34983498349835,1,0.391791044776119,1
0,Family,25,40,0_0_0,0.351210121012101,1,0.393864013266998,1
0,Family,5,40,0_0_1,0.246699669966997,0.98019801980198,0.286484245439469,1
0,Family,10,40,0_0_1,0.244499449944994,1,0.282338308457711,1
