run,dataset,lambda_val,num_neighbors,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,0.3,15,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,16,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,17,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,18,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,19,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,20,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,21,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,22,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,23,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,24,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,25,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,26,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,27,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,28,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,29,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,30,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,31,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,32,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,33,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,34,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,35,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,36,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,37,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,38,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,39,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,40,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,41,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,42,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
0,Family,0.3,43,Brother,0,0_0_0,0.0,0.0,0.0,0.8514851485148515,0.0,,,,,
