run,dataset,class_name,removal,pqr,all_data_recall,all_data_f1,all_data_precision,all_data_accuracy,all_data_jaccard,removed_data_recall,removed_data_f1,removed_data_precision,removed_data_accuracy,removed_data_jaccard
0,Family,Mother,10,0_0_0,0.85,0.918918918918919,1.0,0.9554455445544554,0.85,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,10,0_0_1,1.0,0.8,0.6666666666666666,0.8514851485148515,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,10,0_1_0,0.9166666666666666,0.9401709401709402,0.9649122807017544,0.9653465346534653,0.8870967741935484,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666
0,Family,Mother,10,1_0_0,1.0,0.48,0.3157894736842105,0.3564356435643564,0.3157894736842105,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,10,1_1_1,0.21666666666666667,0.16560509554140126,0.13402061855670103,0.35148514851485146,0.09027777777777778,0.5,0.6666666666666666,1.0,0.5,0.5
0,Family,Mother,15,0_0_0,0.8,0.8888888888888888,1.0,0.9405940594059405,0.8,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,15,0_0_1,0.9833333333333333,0.7866666666666666,0.6555555555555556,0.8415841584158416,0.6483516483516484,0.8888888888888888,0.9411764705882353,1.0,0.8888888888888888,0.8888888888888888
0,Family,Mother,15,0_1_0,0.85,0.9107142857142857,0.9807692307692307,0.9504950495049505,0.8360655737704918,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,15,1_0_0,1.0,0.4897959183673469,0.32432432432432434,0.3811881188118812,0.32432432432432434,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,15,1_1_1,0.36666666666666664,0.26993865030674846,0.21359223300970873,0.41089108910891087,0.15602836879432624,0.4444444444444444,0.6153846153846154,1.0,0.4444444444444444,0.4444444444444444
0,Family,Mother,20,0_0_0,0.75,0.8571428571428571,1.0,0.9257425742574258,0.75,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,20,0_0_1,0.95,0.8028169014084507,0.6951219512195121,0.8613861386138614,0.6705882352941176,0.75,0.8571428571428571,1.0,0.75,0.75
0,Family,Mother,20,0_1_0,0.8,0.8888888888888888,1.0,0.9405940594059405,0.8,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,20,1_0_0,1.0,0.4878048780487805,0.3225806451612903,0.37623762376237624,0.3225806451612903,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,20,1_1_1,0.31666666666666665,0.2345679012345679,0.18627450980392157,0.38613861386138615,0.13286713286713286,0.5,0.6666666666666666,1.0,0.5,0.5
0,Family,Mother,25,0_0_0,0.43333333333333335,0.6046511627906976,1.0,0.8316831683168316,0.43333333333333335,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,25,0_0_1,0.9666666666666667,0.7483870967741936,0.6105263157894737,0.806930693069307,0.5979381443298969,0.8666666666666667,0.9285714285714286,1.0,0.8666666666666667,0.8666666666666667
0,Family,Mother,25,0_1_0,0.75,0.8256880733944955,0.9183673469387755,0.905940594059406,0.703125,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,25,1_0_0,1.0,0.46153846153846156,0.3,0.3069306930693069,0.3,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,25,1_1_1,0.016666666666666666,0.015037593984962405,0.0136986301369863,0.35148514851485146,0.007575757575757576,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,30,0_0_0,0.5,0.6666666666666666,1.0,0.8514851485148515,0.5,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,30,0_0_1,0.7666666666666667,0.8141592920353983,0.8679245283018868,0.8960396039603961,0.6865671641791045,0.2222222222222222,0.36363636363636365,1.0,0.2222222222222222,0.2222222222222222
0,Family,Mother,30,0_1_0,0.7,0.8235294117647058,1.0,0.9108910891089109,0.7,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,30,1_0_0,1.0,0.5660377358490566,0.39473684210526316,0.5445544554455446,0.39473684210526316,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,30,1_1_1,0.05,0.05357142857142857,0.057692307692307696,0.4752475247524752,0.027522935779816515,0.1111111111111111,0.2,1.0,0.1111111111111111,0.1111111111111111
0,Family,Mother,35,0_0_0,0.3333333333333333,0.5,1.0,0.801980198019802,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,35,0_0_1,0.7166666666666667,0.7962962962962963,0.8958333333333334,0.8910891089108911,0.6615384615384615,0.19047619047619047,0.32,1.0,0.19047619047619047,0.19047619047619047
0,Family,Mother,35,0_1_0,0.65,0.7878787878787878,1.0,0.8960396039603961,0.65,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,35,1_0_0,1.0,0.5825242718446602,0.410958904109589,0.5742574257425742,0.410958904109589,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,35,1_1_1,0.1,0.10714285714285714,0.11538461538461539,0.504950495049505,0.05660377358490566,0.19047619047619047,0.32,1.0,0.19047619047619047,0.19047619047619047
0,Family,Mother,40,0_0_0,0.2,0.3333333333333333,1.0,0.7623762376237624,0.2,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,40,0_0_1,0.7166666666666667,0.8269230769230769,0.9772727272727273,0.9108910891089109,0.7049180327868853,0.2916666666666667,0.45161290322580644,1.0,0.2916666666666667,0.2916666666666667
0,Family,Mother,40,0_1_0,0.6166666666666667,0.7551020408163265,0.9736842105263158,0.8811881188118812,0.6065573770491803,0.041666666666666664,0.08,1.0,0.041666666666666664,0.041666666666666664
0,Family,Mother,40,1_0_0,1.0,0.4878048780487805,0.3225806451612903,0.37623762376237624,0.3225806451612903,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,40,1_1_1,0.23333333333333334,0.19718309859154928,0.17073170731707318,0.43564356435643564,0.109375,0.5,0.6666666666666666,1.0,0.5,0.5
0,Family,Mother,45,0_0_0,0.2833333333333333,0.44155844155844154,1.0,0.7871287128712872,0.2833333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,45,0_0_1,0.55,0.7096774193548387,1.0,0.8663366336633663,0.55,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,45,0_1_0,0.5833333333333334,0.7,0.875,0.8514851485148515,0.5384615384615384,0.07407407407407407,0.13793103448275862,1.0,0.07407407407407407,0.07407407407407407
0,Family,Mother,45,1_0_0,1.0,0.47244094488188976,0.30927835051546393,0.33663366336633666,0.30927835051546393,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,45,1_1_1,0.36666666666666664,0.26666666666666666,0.20952380952380953,0.400990099009901,0.15384615384615385,0.8148148148148148,0.8979591836734694,1.0,0.8148148148148148,0.8148148148148148
0,Family,Mother,50,0_0_0,0.18333333333333332,0.30985915492957744,1.0,0.7574257425742574,0.18333333333333332,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,50,0_0_1,0.6,0.6486486486486487,0.7058823529411765,0.806930693069307,0.48,0.2,0.3333333333333333,1.0,0.2,0.2
0,Family,Mother,50,0_1_0,0.6333333333333333,0.7037037037037037,0.7916666666666666,0.8415841584158416,0.5428571428571428,0.26666666666666666,0.42105263157894735,1.0,0.26666666666666666,0.26666666666666666
0,Family,Mother,50,1_0_0,0.9833333333333333,0.5700483091787439,0.4013605442176871,0.5594059405940595,0.39864864864864863,0.9666666666666667,0.9830508474576272,1.0,0.9666666666666667,0.9666666666666667
0,Family,Mother,50,1_1_1,0.08333333333333333,0.08,0.07692307692307693,0.4306930693069307,0.041666666666666664,0.13333333333333333,0.23529411764705882,1.0,0.13333333333333333,0.13333333333333333
0,Family,Mother,55,0_0_0,0.13333333333333333,0.23529411764705882,1.0,0.7425742574257426,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,55,0_0_1,0.5666666666666667,0.6238532110091743,0.6938775510204082,0.7970297029702971,0.4533333333333333,0.21212121212121213,0.35,1.0,0.21212121212121213,0.21212121212121213
0,Family,Mother,55,0_1_0,0.55,0.66,0.825,0.8316831683168316,0.4925373134328358,0.18181818181818182,0.3076923076923077,1.0,0.18181818181818182,0.18181818181818182
0,Family,Mother,55,1_0_0,0.9666666666666667,0.5858585858585859,0.42028985507246375,0.594059405940594,0.4142857142857143,0.9393939393939394,0.96875,1.0,0.9393939393939394,0.9393939393939394
0,Family,Mother,55,1_1_1,0.1,0.10084033613445378,0.1016949152542373,0.47029702970297027,0.05309734513274336,0.15151515151515152,0.2631578947368421,1.0,0.15151515151515152,0.15151515151515152
0,Family,Mother,60,0_0_0,0.18333333333333332,0.30985915492957744,1.0,0.7574257425742574,0.18333333333333332,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,60,0_0_1,0.55,0.584070796460177,0.6226415094339622,0.7673267326732673,0.4125,0.25,0.4,1.0,0.25,0.25
0,Family,Mother,60,0_1_0,0.5333333333333333,0.6095238095238096,0.7111111111111111,0.7970297029702971,0.4383561643835616,0.2222222222222222,0.36363636363636365,1.0,0.2222222222222222,0.2222222222222222
0,Family,Mother,60,1_0_0,0.9666666666666667,0.5771144278606966,0.41134751773049644,0.5792079207920792,0.40559440559440557,0.9444444444444444,0.9714285714285714,1.0,0.9444444444444444,0.9444444444444444
0,Family,Mother,60,1_1_1,0.1,0.096,0.09230769230769231,0.4405940594059406,0.05042016806722689,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.16666666666666666
0,Family,Mother,65,0_0_0,0.25,0.4,1.0,0.7772277227722773,0.25,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,65,0_0_1,0.5166666666666667,0.6458333333333334,0.8611111111111112,0.8316831683168316,0.47692307692307695,0.2564102564102564,0.40816326530612246,1.0,0.2564102564102564,0.2564102564102564
0,Family,Mother,65,0_1_0,0.48333333333333334,0.5979381443298969,0.7837837837837838,0.806930693069307,0.4264705882352941,0.20512820512820512,0.3404255319148936,1.0,0.20512820512820512,0.20512820512820512
0,Family,Mother,65,1_0_0,1.0,0.5128205128205128,0.3448275862068966,0.43564356435643564,0.3448275862068966,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,65,1_1_1,0.31666666666666665,0.20320855614973263,0.14960629921259844,0.2623762376237624,0.1130952380952381,0.358974358974359,0.5283018867924528,1.0,0.358974358974359,0.358974358974359
0,Family,Mother,70,0_0_0,0.21666666666666667,0.3561643835616438,1.0,0.7673267326732673,0.21666666666666667,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,70,0_0_1,0.5,0.6521739130434783,0.9375,0.8415841584158416,0.4838709677419355,0.2857142857142857,0.4444444444444444,1.0,0.2857142857142857,0.2857142857142857
0,Family,Mother,70,0_1_0,0.43333333333333335,0.5591397849462365,0.7878787878787878,0.7970297029702971,0.3880597014925373,0.19047619047619047,0.32,1.0,0.19047619047619047,0.19047619047619047
0,Family,Mother,70,1_0_0,1.0,0.5429864253393665,0.37267080745341613,0.5,0.37267080745341613,1.0,1.0,1.0,1.0,1.0
0,Family,Mother,70,1_1_1,0.31666666666666665,0.2,0.14615384615384616,0.24752475247524752,0.1111111111111111,0.38095238095238093,0.5517241379310345,1.0,0.38095238095238093,0.38095238095238093
0,Family,Mother,75,0_0_0,0.03333333333333333,0.06451612903225806,1.0,0.7128712871287128,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
0,Family,Mother,75,0_0_1,0.45,0.54,0.675,0.7722772277227723,0.3698630136986301,0.26666666666666666,0.42105263157894735,1.0,0.26666666666666666,0.26666666666666666
0,Family,Mother,75,0_1_0,0.3,0.45569620253164556,0.9473684210526315,0.7871287128712872,0.29508196721311475,0.06666666666666667,0.125,1.0,0.06666666666666667,0.06666666666666667
0,Family,Mother,75,1_0_0,0.9333333333333333,0.5833333333333334,0.42424242424242425,0.6039603960396039,0.4117647058823529,0.9111111111111111,0.9534883720930233,1.0,0.9111111111111111,0.9111111111111111
